time,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
8.287,0.0,0.0,0.25,0.25,0.0,0.0
8.378,0.0,0.0,0.25,0.25,0.0,0.0
8.479,0.0,0.0,0.25,0.25,0.0,0.0
8.58,0.0,0.0,0.25,0.25,0.0,0.0
8.679,0.0,0.0,0.25,0.25,0.0,0.0
8.778,0.0,0.0,0.25,0.25,0.0,0.0
8.878,0.0,0.0,0.25,0.25,0.0,0.0
8.979,0.0,0.0,0.25,0.25,0.0,0.0
9.076,0.0,0.0,0.25,0.25,0.0,0.0
9.178,0.0,0.0,0.25,0.25,0.0,0.0
9.278,0.0,0.0,0.25,0.25,0.0,0.0
9.379,0.0,0.0,0.25,0.25,0.0,0.0
9.479,0.0,0.0,0.25,0.25,0.0,0.0
9.578,0.0,0.0,0.25,0.25,0.0,0.0
9.678,0.0,0.0,0.25,0.25,0.0,0.0
9.78,0.0,0.0,0.25,0.25,0.0,0.0
9.878,0.0,0.0,0.25,0.25,0.0,0.0
9.978,0.0,0.0,0.25,0.25,0.0,0.0
10.078,0.0,0.0,0.25,0.25,0.0,0.0
10.179,0.0,0.0,0.25,0.25,0.0,0.0
10.278,0.0,0.0,0.25,0.25,0.0,0.0
10.378,0.0,0.0,0.25,0.25,0.0,0.0
10.478,0.0,0.0,0.25,0.25,0.0,0.0
10.578,0.0,0.0,0.25,0.25,0.0,0.0
10.678,0.0,0.0,0.25,0.25,0.0,0.0
10.778,0.0,0.0,0.25,0.25,0.0,0.0
10.878,0.0,0.0,0.25,0.25,0.0,0.0
10.978,0.0,0.0,0.25,0.25,0.0,0.0
11.078,0.0,0.0,0.25,0.25,0.0,0.0
11.178,0.0,0.0,0.25,0.25,0.0,0.0
11.278,0.0,0.0,0.25,0.25,0.0,0.0
11.383,0.0,0.0,0.25,0.25,0.0,0.0
11.479,0.0,0.0,0.25,0.25,0.0,0.0
11.578,0.0,0.0,0.25,0.25,0.0,0.0
11.679,0.0,0.0,0.25,0.25,0.0,0.0
11.778,0.0,0.0,0.25,0.25,0.0,0.0
11.878,0.0,0.0,0.25,0.25,0.0,0.0
11.978,0.0,0.0,0.25,0.25,0.0,0.0
12.079,0.0,0.0,0.25,0.25,0.0,0.0
12.178,0.0,0.0,0.25,0.25,0.0,0.0
12.278,0.0,0.0,0.25,0.25,0.0,0.0
12.378,0.0,0.0,0.25,0.25,0.0,0.0
12.478,0.0,0.0,0.25,0.25,0.0,0.0
12.58,0.0,0.0,0.25,0.25,0.0,0.0
12.678,0.0,0.0,0.25,0.25,0.0,0.0
12.779,0.0,0.0,0.25,0.25,0.0,0.0
12.878,0.0,0.0,0.25,0.25,0.0,0.0
12.98,0.0,0.0,0.25,0.25,0.0,0.0
13.078,0.0,0.0,0.25,0.25,0.0,0.0
13.179,0.0,0.0,0.25,0.25,0.0,0.0
13.278,0.0,0.0,0.25,0.25,0.0,0.0
13.378,0.0,0.0,0.25,0.25,0.0,0.0
13.478,0.0,0.0,0.25,0.25,0.0,0.0
13.579,0.0,0.0,0.25,0.25,0.0,0.0
13.678,0.0,0.0,0.25,0.25,0.0,0.0
13.778,0.0,0.0,0.25,0.25,0.0,0.0
13.879,0.0,0.0,0.25,0.25,0.0,0.0
13.981,0.0,0.0,0.25,0.25,0.0,0.0
14.078,0.0,0.0,0.25,0.25,0.0,0.0
14.178,0.0,0.0,0.25,0.25,0.0,0.0
14.279,0.0,0.0,0.25,0.25,0.0,0.0
14.378,0.0,0.0,0.25,0.25,0.0,0.0
14.479,0.0,0.0,0.25,0.25,0.0,0.0
14.579,0.0,0.0,0.25,0.25,0.0,0.0
14.679,0.0,0.0,0.25,0.25,0.0,0.0
14.778,0.0,0.0,0.25,0.25,0.0,0.0
14.878,0.0,0.0,0.25,0.25,0.0,0.0
14.979,0.0,0.0,0.25,0.25,0.0,0.0
15.079,0.0,0.0,0.25,0.25,0.0,0.0
15.179,0.0,0.0,0.25,0.25,0.0,0.0
15.279,0.0,0.0,0.25,0.25,0.0,0.0
15.378,0.0,0.0,0.25,0.25,0.0,0.0
15.478,0.0,0.0,0.25,0.25,0.0,0.0
15.579,0.0,0.0,0.25,0.25,0.0,0.0
15.682,0.0,0.0,0.25,0.25,0.0,0.0
15.781,0.0,0.0,0.25,0.25,0.0,0.0
15.878,0.0,0.0,0.25,0.25,0.0,0.0
15.978,0.0,0.0,0.25,0.25,0.0,0.0
16.078,0.0,0.0,0.25,0.25,0.0,0.0
16.178,0.0,0.0,0.25,0.25,0.0,0.0
16.278,0.0,0.0,0.25,0.25,0.0,0.0
16.378,0.0,0.0,0.25,0.25,0.0,0.0
16.478,0.0,0.0,0.25,0.25,0.0,0.0
16.578,0.0,0.0,0.25,0.25,0.0,0.0
16.679,0.0,0.0,0.25,0.25,0.0,0.0
16.779,0.0,0.0,0.25,0.25,0.0,0.0
16.878,0.0,0.0,0.25,0.25,0.0,0.0
16.979,0.0,0.0,0.25,0.25,0.0,0.0
17.078,0.0,0.0,0.25,0.25,0.0,0.0
17.178,0.0,0.0,0.25,0.25,0.0,0.0
17.278,0.0,0.0,0.25,0.25,0.0,0.0
17.378,0.0,0.0,0.25,0.25,0.0,0.0
17.478,0.0,0.0,0.25,0.25,0.0,0.0
17.578,0.0,0.0,0.25,0.25,0.0,0.0
17.681,0.0,0.0,0.25,0.25,0.0,0.0
17.778,0.0,0.0,0.25,0.25,0.0,0.0
17.878,0.0,0.0,0.25,0.25,0.0,0.0
17.979,0.0,0.0,0.25,0.25,0.0,0.0
18.078,0.0,0.0,0.25,0.25,0.0,0.0
18.178,0.0,0.0,0.25,0.25,0.0,0.0
18.278,0.0,0.0,0.25,0.25,0.0,0.0
18.378,0.0,0.0,0.25,0.25,0.0,0.0
18.478,0.0,0.0,0.25,0.25,0.0,0.0
18.578,0.0,0.0,0.25,0.25,0.0,0.0
18.678,0.0,0.0,0.25,0.25,0.0,0.0
18.779,0.0,0.0,0.25,0.25,0.0,0.0
18.879,0.0,0.0,0.25,0.25,0.0,0.0
18.978,0.0,0.0,0.25,0.25,0.0,0.0
19.078,0.0,0.0,0.25,0.25,0.0,0.0
19.178,0.0,0.0,0.25,0.25,0.0,0.0
19.278,0.0,0.0,0.25,0.25,0.0,0.0
19.378,0.0,0.0,0.25,0.25,0.0,0.0
19.478,0.0,0.0,0.25,0.25,0.0,0.0
19.578,0.0,0.0,0.25,0.25,0.0,0.0
19.679,0.0,0.0,0.25,0.25,0.0,0.0
19.778,0.0,0.0,0.25,0.25,0.0,0.0
19.879,0.0,0.0,0.25,0.25,0.0,0.0
19.978,0.0,0.0,0.25,0.25,0.0,0.0
20.079,0.0,0.0,0.25,0.25,0.0,0.0
20.18,0.0,0.0,0.25,0.25,0.0,0.0
20.278,0.0,0.0,0.25,0.25,0.0,0.0
20.378,0.0,0.0,0.25,0.25,0.0,0.0
20.478,0.0,0.0,0.25,0.25,0.0,0.0
20.578,0.0,0.0,0.25,0.25,0.0,0.0
20.679,0.0,0.0,0.25,0.25,0.0,0.0
20.777,0.0,0.0,-0.25,0.25,0.0,0.0
20.878,0.0,0.0,-0.25,0.25,0.0,0.0
20.983,0.0,0.0,-0.25,0.25,0.0,0.0
21.078,0.0,0.0,-0.25,0.25,0.0,0.0
21.178,0.0,0.0,-0.25,0.25,0.0,0.0
21.278,0.0,0.0,-0.25,0.25,0.0,0.0
21.379,0.0,0.0,-0.25,0.25,0.0,0.0
21.48,0.0,0.0,-0.25,0.25,0.0,0.0
21.578,0.0,0.0,-0.25,0.25,0.0,0.0
21.677,0.0,0.0,-0.25,0.25,0.0,0.0
21.781,0.0,0.0,-0.25,0.25,0.0,0.0
21.878,0.0,0.0,-0.25,0.25,0.0,0.0
21.979,0.0,0.0,-0.25,0.25,0.0,0.0
22.078,0.0,0.0,-0.25,0.25,0.0,0.0
22.18,0.0,0.0,-0.25,0.25,0.0,0.0
22.278,0.0,0.0,-0.25,0.25,0.0,0.0
22.378,0.0,0.0,-0.25,0.25,0.0,0.0
22.479,0.0,0.0,-0.25,0.25,0.0,0.0
22.578,0.0,0.0,-0.25,0.25,0.0,0.0
22.678,0.0,0.0,-0.25,0.25,0.0,0.0
22.779,0.0,0.0,-0.25,0.25,0.0,0.0
22.878,0.0,0.0,-0.25,0.25,0.0,0.0
22.978,0.0,0.0,-0.25,0.25,0.0,0.0
23.078,0.0,0.0,-0.25,0.25,0.0,0.0
23.179,0.0,0.0,-0.25,0.25,0.0,0.0
23.279,0.0,0.0,-0.25,0.25,0.0,0.0
23.378,0.0,0.0,-0.25,0.25,0.0,0.0
23.478,0.0,0.0,-0.25,0.25,0.0,0.0
